cliente_id,cliente_nombre,cliente_ip,cliente_mac,matched
,,172.24.79.14,74:83:c2:ae:19:e4,False
,,nan,nan,False
,,172.24.79.5,e0:63:da:f4:66:60,False
,,172.24.51.36,nan,False
,,172.24.81.61,fc:ec:da:26:94:f4,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.27,b4:fb:e4:a4:47:a8,False
,,nan,nan,False
,,172.24.78.5,b4:fb:e4:66:32:67,False
,,172.24.78.132,nan,False
,,nan,nan,False
,,172.24.76.10,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.12,nan,False
,,172.24.81.92,74:83:c2:ee:d8:1a,False
,,nan,nan,False
,,172.24.77.31,74:83:c2:ee:d8:4f,False
,,nan,nan,False
,,172.24.81.52,nan,False
,,172.24.79.29,nan,False
,,172.24.78.13,nan,False
,,172.24.51.38,nan,False
,,172.24.78.15,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.59,nan,False
,,172.24.81.63,nan,False
,,172.24.77.26,nan,False
,,nan,nan,False
,,172.24.77.40,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.92,nan,False
,,172.24.81.64,nan,False
,,nan,nan,False
,,172.24.51.28,f4:92:bf:30:e3:3d,False
,,172.24.51.35,nan,False
,,nan,nan,False
,,172.24.81.71,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.19,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.81.45,nan,False
,,nan,nan,False
,,172.24.51.8,nan,False
,,172.24.80.98,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.81.88,nan,False
,,nan,nan,False
,,172.24.81.3,nan,False
,,172.24.77.30,nan,False
,,172.24.81.110,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.64,nan,False
,,172.24.78.48,nan,False
,,nan,nan,False
,,172.24.78.50,nan,False
,,172.24.51.63,nan,False
,,172.24.78.54,nan,False
,,172.24.78.53,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.56,nan,False
,,172.24.51.17,nan,False
,,172.24.78.57,nan,False
,,172.24.78.58,nan,False
,,172.24.78.60,nan,False
,,172.24.80.8,nan,False
,,172.24.81.51,nan,False
,,172.24.77.27,nan,False
,,172.24.81.26,nan,False
,,172.24.81.49,nan,False
,,172.24.75.24,nan,False
,,nan,nan,False
,,172.24.78.220,nan,False
,,nan,nan,False
,,172.24.80.27,nan,False
,,nan,nan,False
,,172.24.78.63,nan,False
,,172.24.78.62,b4:fb:e4:6c:8e:6d,False
,,172.24.77.11172.24.77.23,nan,False
,,nan,nan,False
,,172.24.78.65,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.76.13,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.76.18,nan,False
,,nan,nan,False
,,172.24.81.21,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.214,nan,False
,,nan,nan,False
,,172.24.78.74,60:22:32:dc:4a:f8,False
,,nan,nan,False
,,172.24.51.21,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.75.13,nan,False
,,172.24.75.14,nan,False
,,nan,nan,False
,,172.24.78.77,nan,False
,,nan,nan,False
,,172.24.79.36,nan,False
,,nan,nan,False
,,172.24.78.22,nan,False
,,nan,nan,False
,,172.24.76.19,nan,False
,,172.24.79.31,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.12,nan,False
,,172.24.76.20,nan,False
,,172.24.51.20,nan,False
,,nan,nan,False
,,172.24.78.70,nan,False
,,nan,nan,False
,,172.24.76.53,nan,False
,,172.24.78.49,nan,False
,,172.24.79.35,nan,False
,,172.24.78.81,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.80,nan,False
,,172.24.78.71,nan,False
